d1, ax, ay, az, axL, azL, ts
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 92.83524
0.00000, 272.00000, 326.00000, 328.00000, 320.00000, 411.00000, 92.84720
0.00000, 273.00000, 327.00000, 329.00000, 322.00000, 412.00000, 92.86295
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 92.87663
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 92.88864
0.00000, 271.00000, 327.00000, 328.00000, 322.00000, 411.00000, 92.90227
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 92.91557
0.00000, 273.00000, 326.00000, 328.00000, 321.00000, 412.00000, 92.92807
0.00000, 273.00000, 327.00000, 328.00000, 322.00000, 411.00000, 92.94011
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 92.95231
0.00000, 272.00000, 326.00000, 328.00000, 320.00000, 411.00000, 92.96498
0.00000, 273.00000, 326.00000, 327.00000, 321.00000, 411.00000, 92.97817
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 411.00000, 92.98880
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.00958
0.00000, 273.00000, 326.00000, 328.00000, 321.00000, 410.00000, 93.03082
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 93.04490
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.06387
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 93.07893
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.09215
0.00000, 272.00000, 326.00000, 329.00000, 322.00000, 411.00000, 93.10468
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.11772
0.00000, 272.00000, 325.00000, 328.00000, 322.00000, 410.00000, 93.12918
0.00000, 273.00000, 326.00000, 328.00000, 321.00000, 411.00000, 93.14243
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 93.15667
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 410.00000, 93.17083
0.00000, 272.00000, 326.00000, 327.00000, 320.00000, 411.00000, 93.18806
0.00000, 272.00000, 325.00000, 328.00000, 322.00000, 411.00000, 93.20197
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.21723
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 93.23078
0.00000, 272.00000, 325.00000, 328.00000, 322.00000, 411.00000, 93.24854
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 93.26415
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 411.00000, 93.27800
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.29122
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 410.00000, 93.30566
